,caderaIzq_fx,caderaDer_fx,rodillaIzq_fx,rodillaDer_fx,pieIzq_fx,pieDer_fx,caderaIzq_fy,caderaDer_fy,rodillaIzq_fy,rodillaDer_fy,pieIzq_fy,pieDer_fy,caderaIzq_fz,caderaDer_fz,rodillaIzq_fz,rodillaDer_fz,pieIzq_fz,pieDer_fz
203,4.340446631181604,-110.15348287354576,-16.37875344679201,-74.72234761617786,-39.857416087328055,-95.53326868777678,28.85285234670072,16.033643319867913,-2.3346789070221567,-76.79942585657818,50.113455958922,24.990446236245777,754.0209563480763,776.6520295387446,428.6300826271508,445.1968788877725,111.8177946613618,133.7900626719048
204,4.36288460703354,-110.61332104092924,-16.363514181621895,-74.79231343497129,-39.88574706948481,-96.38645973896047,29.312388891158896,16.01363091622566,-2.3500837093018667,-76.8673473104695,50.32594660225468,24.610381092497978,753.970375334302,776.8921771354641,428.42481418228084,445.04305046444733,111.82547194487034,134.12698280491145
205,4.380552323517609,-111.06833879027715,-16.35077629311608,-74.86366022423358,-39.91649020161281,-97.2651736656058,29.73983869117785,15.993972059291146,-2.370683247124042,-76.94620852658649,50.55007568455467,24.23583933528689,753.9186181200309,777.1237590369876,428.21551054473315,444.8956634251676,111.82540939246775,134.46861912370065
206,4.394517424636774,-111.51490444393424,-16.342122236298547,-74.93353705764247,-39.94953621291195,-98.16979312171603,30.13786953776279,15.97897281703057,-2.3978242608232603,-77.03944794960194,50.784599259790355,23.867117338313516,753.863968786407,777.3392155626207,428.0045461134424,444.75320036150316,111.81637507254834,134.81787958463983
207,4.405847554393998,-111.94938632424511,-16.339134466193276,-74.99909300887563,-39.98477583258211,-99.10070076129418,30.509149221918854,15.97293925741017,-2.4328534907340975,-77.15050402418848,51.028273381930084,23.5045114752789,753.804711414574,777.5309870316678,427.79429528734295,444.6141438650236,111.79713705350648,135.17767214409642
208,4.415610356792241,-112.3681527535544,-16.34339543782424,-75.05747715161085,-40.02209978982317,-100.05827923834347,30.85634553465126,15.980177448396155,-2.477117677191132,-77.2828151950189,51.27985410494224,23.148318119884024,753.7391300856765,777.6915137634339,427.58713246536934,444.4769765272988,111.7664634037365,135.55090475843795
209,4.42487347583447,-112.76757205420678,-16.356487606215417,-75.10583855952582,-40.06139881383501,-101.042911206867,31.182126266965163,16.004993457954757,-2.5319635605289394,-77.43981990676588,51.53809748279517,22.79883364582993,753.6655088808584,777.813236077224,427.3854320464559,444.3401809398984,111.72312219163273,135.94048538403183
210,4.434704555523644,-113.14401254854687,-16.379993426390783,-75.14132630629827,-40.10256363381751,-102.05497932086787,31.48915920986574,16.051693354052183,-2.598737881082095,-77.62495660410215,51.801759569457246,22.45635442681764,753.582131881264,777.8885942923426,427.1915684295372,444.2022396943921,111.66588148558955,136.34932197724558
211,4.445405400225382,-113.49479232786467,-16.414815198716198,-75.16201746403938,-40.14536269084671,-103.09451629916083,31.779406302045178,16.12328950984877,-2.678311531784656,-77.8404220901892,52.06939638726621,22.121186768149936,753.4881375547994,777.9126156512062,427.0072495100156,444.06181760345675,111.593793252733,136.77967883446524
212,4.4542144557559284,-113.82102855923158,-16.45913460492505,-75.169701098594,-40.189075273503256,-104.16015511980669,32.0520060729436,16.217619519281264,-2.769652015968577,-78.08344660214361,52.33876383203732,21.793676701536754,753.3860819164211,777.8906750886763,426.83151716916467,443.9183083641971,111.50704505511588,137.2312456121514
213,4.457604328294185,-114.12478817866433,-16.510453172092603,-75.16709427424045,-40.232858382243975,-105.25017882567805,32.30539119968816,16.33122728148053,-2.8712509895652993,-78.35001873557074,52.60741776795522,21.47418019028978,753.2793753678471,777.8307344627251,426.66274678472604,443.77128789482526,111.4061083535227,137.7030683067834
214,4.452047624019049,-114.40813812217968,-16.566272427294127,-75.15691405525709,-40.275869017525665,-106.36287045964728,32.53799435940601,16.46065669557741,-2.981600108506256,-78.63612708607594,52.87291405920456,21.163053197720725,753.171428310796,777.7407556313256,426.4993137344413,443.62033211355305,111.291454608738,138.1941929148403
215,4.434016949109424,-114.67314532579435,-16.624093897604897,-75.14187750592218,-40.31726417980515,-107.49651306458684,32.74824822922425,16.60245166070276,-3.099191028722878,-78.93776024926454,53.132808569969946,20.860651687141306,753.0656511469864,777.6287004524503,426.33959339605195,443.46501693859244,111.16355528154627,138.7036654328014
216,4.399984909744209,-114.92187672552508,-16.68141911010017,-75.12470169051404,-40.356200869539244,-108.64938968336928,32.93458548627006,16.75315607598745,-3.22251540614661,-79.25090682074192,53.38465716443605,20.567331621863204,752.9654542781366,777.5025307840718,426.18196114729966,443.30491828815536,111.02288183273203,139.23053185714588
217,4.346424112102305,-115.15639925738861,-16.735749591855225,-75.10810367331102,-40.39183608718474,-109.819783358867,33.09543880767055,16.909313840562326,-3.3500648967088846,-79.57155539611341,53.626015706787506,20.28344896519813,752.8742481059649,777.3702084841631,426.024792365926,443.13961208045373,110.86990572307978,139.77383818435302
218,4.269807162362616,-115.3787798574017,-16.784586869945322,-75.0948005185914,-40.423326833198466,-111.00597713395246,33.22924087055287,17.06746885355824,-3.480331156341132,-79.89569457098438,53.854440061208926,20.0093596804578,752.79544303219,777.2396954106965,425.86646242967237,442.9686742336997,110.70509841337407,140.332630410902
219,4.166606666704038,-115.59108546158106,-16.825432471445744,-75.08750929063352,-40.44983010803725,-112.20625405149818,33.33442435204415,17.22416501410606,-3.611805840974798,-80.21931294096017,54.06748609188499,19.745419730953888,752.7324494585299,777.1189534216447,425.7053467162806,442.79168066610487,110.52893136439938,140.905954533272
220,4.03329523130547,-115.79538300594345,-16.855787923431738,-75.08894705371564,-40.47050291215787,-113.41889715437661,33.40942192927155,17.375946221336633,-3.7429806065413134,-80.53839910164614,54.262709663000315,19.49198507999812,752.6886777867035,777.0159443749807,425.53982060349193,442.60820729588136,110.34187603694025,141.49285654794232
221,3.867677615815965,-115.99360057677073,-16.873762633213065,-75.10116219016182,-40.48456447407745,-114.64275375537363,33.45340196374588,17.51905344639333,-3.872508647793644,-80.84971930740652,54.43800796690308,19.250031355208034,752.6663163353644,776.9366497055321,425.3687070870203,442.4180020349671,110.1447639365884,142.0923653963273
222,3.672887193765121,-116.18711086140526,-16.87989752903736,-75.1235283544788,-40.49148293455432,-115.87892824692909,33.46847555451276,17.648515948469583,-3.9996893147709067,-81.15315044764117,54.59264350859566,19.02301284142451,752.6626650909081,776.8791291555485,425.19261963446775,442.22150077020376,109.93986674816448,142.70344179958184
223,3.4533894921527026,-116.37714769745452,-16.87534141938674,-75.15475051921902,-40.490788662407084,-117.1290892913962,33.457489485001474,17.759060058771343,-4.123983496333733,-81.44934707050881,54.72622012124393,18.81500348779427,752.6738019566661,776.8394620441347,425.01261933140853,442.0193113821591,109.72981620129636,143.325029423796
224,3.213650037978446,-116.56494492252598,-16.861243112743328,-75.1935336569349,-40.48201202645436,-118.39490555112828,33.42329053864132,17.845412108504558,-4.244852081342779,-81.7389637241682,54.83834163801383,18.630077243464044,752.6958048359693,776.8137276903957,424.8297672634168,441.8120417514009,109.51724402561192,143.95607193505992
225,2.95813435824211,-116.75173637422718,-16.838751417589226,-75.23858274017891,-40.46468339551477,-119.67804568847853,33.3687254988616,17.90229842887517,-4.3617559586586765,-82.02265495677808,54.92861189207125,18.47230805758054,752.7247516321485,776.798005413436,424.64512451606674,441.6002997584968,109.30478195073897,144.59551299946364
226,2.6913079799434554,-116.93875589016555,-16.80901514240656,-75.2886027415035,-40.43833313840693,-120.98017836580019,33.2966411490916,17.924445351089133,-4.474156017142066,-82.30107531649713,54.99663471658209,18.345769879290508,752.7567202485347,776.7883745323608,424.4597521749328,441.38469328401465,109.09506170630546,145.24229628309715
227,2.417636430082216,-117.1272373079486,-16.773183095677446,-75.34229863346106,-40.40249162394946,-122.3029722454466,33.209884272760625,17.906579206352383,-4.581513145653599,-82.57487935148414,55.04201394471227,18.254536657740644,752.7877885884593,776.7809143662747,424.27471132558907,441.165830208522,108.89071502193923,145.8953654520507
228,2.1415852356581606,-117.3184144651838,-16.732404085883996,-75.3983753886041,-40.356689220960966,-123.64809598977087,33.11130165329798,17.843426325870887,-4.683288233053907,-82.84472160989783,55.064353409627664,18.202682342077686,752.8140345552532,776.7717042342823,424.0910630536098,440.9443184125867,108.69437362726812,146.5536641724142
229,1.8676199236710223,-117.51352119947865,-16.687826921508332,-75.45553797948502,-40.30045629826006,-125.01721826112643,33.003740074132935,17.72971304085057,-4.778942168203642,-83.11125663989694,55.0632569444942,18.194280881448353,752.8315360522474,776.756823455489,423.90986844456916,440.7207657767765,108.50866925192005,147.2161361102778
230,1.6002060211205615,-117.71379134844062,-16.640600411032565,-75.51249137865625,-40.23332322466538,-126.41200772186643,32.890046318694814,17.560165682497395,-4.867935839963441,-83.37513898964019,55.03832838247777,18.23340622499937,752.836370982773,776.7323513489991,423.73218858404147,440.49578018165903,108.33623362552285,147.88172493173155
231,1.342747485817511,-117.92004908031919,-16.59158822634334,-75.56824789073323,-40.15521126940191,-127.83327600311902,32.77328484743371,17.332299606267984,-4.949873634761624,-83.6365229610272,54.9895102641006,18.322405986013393,752.8256933599291,776.6951686440633,423.5589467963182,440.2699548985521,108.17908767929362,148.55000451639378
232,1.0944019988164637,-118.1314798859317,-16.540513492945387,-75.6230491485833,-40.06760530332019,-129.27840661111213,32.65739082888298,17.05478626462164,-5.024933929297242,-83.89356187092113,54.91809995931013,18.45672243431686,752.8009616358869,776.6453617105136,423.3905153605595,440.04382476177324,108.0368091508063,149.223069597996
