,caderaDer_x,caderaDer_y,caderaDer_z,pieDer_x,pieDer_y,pieDer_z,pieIzq_x,pieIzq_y,pieIzq_z,rodillaDer_x,rodillaDer_y,rodillaDer_z,rodillaIzq_x,rodillaIzq_y,rodillaIzq_z,caderaIzq_x,caderaIzq_y,caderaIzq_z
46,39.607,-13.701,788.52,-2.0037,241.25,152.52,17.78,-93.234,93.843,18.661,24.955,446.84,-13.515,2.5391,454.85,-53.204,-61.378,789.06
47,32.869,-48.267,785.36,61.33,213.27,141.37,2.0582,-92.484,98.54,30.228,60.632,440.48,-8.5483,-39.611,458.52,-71.426,-43.209,795.63
48,17.22,-60.761,782.98,115.59,159.57,135.29,-13.187,-83.123,100.22,41.846,51.042,437.28,-6.2904,-35.497,460.76,-83.269,-23.873,800.76
49,-7.2406,-64.76,784.11,158.31,89.953,133.56,-29.084,-66.791,102.13,54.499,32.267,444,-13.578,-8.2818,461.15,-87.386,15.372,802.62
50,-30.203,-61.817,786.93,182.95,17.833,133.74,-43.136,-45.026,102.6,69.055,-2.8207,452.09,-22.945,18.634,459.53,-88.119,58.177,803.61
51,-50.749,-49.72,789.92,193.01,-53.096,136.31,-50.348,-18.068,106.03,71.668,-30.895,454.27,-25.098,29.945,458.78,-82.136,103.28,802.94
52,-61.049,-31.621,790.1,190.64,-116.2,138.73,-49.81,8.4992,109.92,71.828,-57.563,455.61,-20.766,30.322,456.88,-60.554,107.48,798.13
53,-68.555,-7.1241,789.1,176.35,-167.92,138.33,-39.689,40.82,107.15,68.44,-78.918,450.27,-9.9538,32.291,444.6,-36.006,103.08,791.81
54,-75.739,7.8937,788.96,152.94,-204.62,134.79,-29.141,59.085,107.1,56.016,-92.266,448.67,1.0538,31.308,437.32,-12.469,87.34,785.62
55,-79.545,15.401,788.69,120.55,-227.5,132.75,-18.923,70.853,106.39,39.55,-101.97,449.07,6.0267,28.936,430.98,2.6677,74.107,781.35
56,-79.595,17.774,788.68,84.448,-239.05,133.49,-12.243,72.042,108.41,20.62,-109.8,455.99,3.9227,26.75,431.82,20.283,50.679,777.7
57,-76.675,25.259,788.03,47.856,-244.59,137.96,-2.5962,76.485,106.46,6.1964,-111.45,456.78,6.2973,25.118,430.95,37.938,32.354,773.3
58,-72.73,33.186,786.46,16.692,-243.7,140.4,6.7246,82.268,102.92,-7.2427,-109.27,453.37,12.162,20.045,433.49,48.131,27.044,770.51
59,-68.617,43.36,783.53,-7.1546,-237.83,141.18,13.318,83.954,102.91,-18.445,-101.91,447.95,19.313,10.73,441.74,53.45,27.647,767.1
60,-64.946,49.744,780.37,-21.845,-229.98,139.43,15.457,86.315,102.83,-26.489,-95.183,441.65,20.769,5.3438,445.04,57.364,28.551,764.23
61,-61.492,55.293,777.96,-28.356,-224.9,138.28,16.32,86.176,103.95,-29.099,-90.964,438.41,21.959,2.9056,446.59,61.957,29.473,762.02
62,-58.98,56.937,776.62,-28.642,-224.06,137.85,16.906,87.722,103.59,-27.879,-89.964,437.23,23.608,2.7588,444.72,66.517,31.065,761.34
63,-57.264,57.565,775.77,-26.104,-225.15,138.21,17.726,87.693,103.61,-24.852,-90.306,436.06,26.079,1.063,444.43,69.582,30.777,760.86
64,-56.275,56.074,773.99,-23.604,-226.85,137.98,17.428,87.581,103.02,-22.497,-90.833,433.98,28.443,-0.20834,443.76,70.907,30.312,759.99
65,-55.917,54.19,772.88,-21.487,-228.33,137.5,17.408,85.914,103.13,-20.849,-92.264,433.26,31.022,-2.1713,444.91,71.428,27.923,759.06
66,-55.603,52.098,771.57,-20.241,-229.53,137.48,17.312,85.663,102.29,-20.868,-92.324,434.14,32.118,-2.4128,447.29,72.242,24.125,758.31
67,-54.992,51.452,770.99,-19.818,-230.22,137.97,17.533,85.138,102.63,-21.11,-93.152,434.53,33.309,-2.498,446.76,72.487,21.736,757.6
68,-54.49,50.658,769.34,-19.66,-229.77,138.29,17.801,85.505,102.61,-21.576,-94.089,433.53,33.898,-1.5599,444.3,72.827,20.839,756.41
69,-53.867,48.261,768.38,-19.368,-229.34,138.93,18.501,84.678,103.6,-21.515,-98.18,432.07,35.114,-0.65928,440.18,71.818,21.014,755.68
